		lágyszárúaknál és fáknál				többnyire lágyszárúaknál			csak fáknál				hasonló növény										
Erdei kányafű	Rorippa sylvestris	fürt	szárnyalt	fűrészes	ülő	4 tagú	sárga	szögletes				Keresztesvirágúak közé sok ismert faj tartozik, kerti dísznövények (pl. tatárvirág), mezőgazdasági növények ( repce, káposzta), fűszernövények ( torma), gyógynövények ( pásztortáska). Szögletes szára belül üreges. Akár fél méter magasra is megnőhet, de általában ennél kisebb méretű. Levelei páratlanul szárnyaltak, a levélkék széle fűrészes vagy ép. Sárga színű, négy szirom alkotta virágai laposnak tűnő fürtben nyílnak, csak a szár csúcsún vannak kinyílt virágok, a többiből már fejlődni kezdett a becőke, mely keskeny-szálas. Májustól nyár végéig virít vizes, tocsogós réteken, nitrogénban dús talajt kedvel.											
Erdei kutyatej	Euphorbia amygdaloides	ernyő	visszás tojásdad	ép	nyeles	egyedi*	sárga	hengeres				Már márciusban virágzó, bíborvörös levelű kutyatejféle. A hazai erdőkben sokfelé előfordul, kedveli a gyertyános-tölgyes, bükkös erdőket. Elsősorban a szárat sűrűn borító bíborvörös – zöld árnyalatú leveleiről lehet megismerni. Virágai ernyőben nyílnak, március – április tájékán, a virágok színe sárga- zöld árnyalatú. Hasonlóan a többi kutyatejféléhez, tejnedve neki is mérgező, bőrrel érintkezve irritációt okozhat.											
Erdei madársóska	Oxalis acetosella	magányos	összetett	ép	nyeles	5 tagú	fehér	hengeres				Nemcsak gyógynövényként hasznosítható, hanem nyersen ehető is, levele enyhén savanykás, kitűnőszomjoltó, csak arra kell figyelni, hogy amikor virágzik a növény, akkor mérgező. Ilyenkor ne fogyasszuk el! Alacsony termetű, mindössze 4-10 cm-re nő meg. Levelei három, szív alakú levélkéből összetettek, a szár csúcsán állnak. Mozgásukat a fény befolyásolja: erős napfényben, éjszaka összecsukódnak (fototropizmus). A levelek a sóskasav miatt enyhén savanykásak. Virágai magányosan ülnek a szár végén. A szirmok vékonyak, fehérek halványlila erezettel. Toktermése van, de elsősorban kúszó tarackjaival terjed. Április- május során virágzik üde, árnyas lomerdőkben, de levelei később is láthatóak.											
Erdei mályva	Malva sylvestris	magányos	osztott	fűrészes	nyeles	5 tagú	bíbor	hengeres				A mályva nemzetség tagjainak lila vagy rózsaszín virága is vannak, egy színárnyaltot is neveztek el róluk. Nagy termetű, feltűnő növények. Gyógyhatású anyagokat tartalmaznak. Akár egy méteresre magasságot is elérhet. Szára hengeres, felálló. Levelei tenyeresen karéjosak, a karéjok szélei finoman fűrészeltek vagy csipkések. Hosszú nyéllel kapcsolósnak a szárhoz. A virágok öt szirmúak, a szirmok csúcsa kicsípett. Általában rózsaszínűek, de előfordulhat fehér változat is. A szirmokon az alapszínnél sötétebb csíkozás látható. A szár csúcsán és a levelek hónaljában magányosan nyílnak. A sziromlevelek egyesével állnak, nem forrtak össze. Termése több tokból áll, népiesen papsajtnak nevezik formája miatt. Július és augusztus között virít utak szélén, réteken, patakok partján.											
Erdei méhfű	Melittis melissophyllum	örv	háromszögletes	fűrészes	ülő	ajakos	lila	szögletes				Gyógynövény, a híres Mecseki tea egyik alapanyaga, mecseki fűnek is nevezik emiatt. Feltűnő méretű és szépségű növény, virágzás idején nem nehéz észrevenni, már messziről szembeötlik. Szögletes szára 15-25 cm magasra nő meg. Háromszög vagy széles lándzsás alakú levelei ülőek, fűrészes szélűek, dúsan borítják a szárat. Szára és levelei is szőrösek. Nagy méretű, 1-3 cm-es virágai a levelek hónaljában, örvökben nyílnak. A kinyúló ajak lila színű, fehér szegélyű, a vége enyhén kicsípett. A torokrésze fehér alapon sötétebb mintázattal díszített. Az oldalsó párták tiszta fehérek, éles kontrasztot képezve. Termése makkocska. Tölgyesekben, erdei utak mentén virágzik május-júniusban.											
Erdei nenyúljhozzám	Impatiens noli-tangere	fürt	tojásdad	fűrészes	nyeles	egyedi*	sárga	hengeres				Nevét pattanva felnyíló terméséről kapta. Közeli rokona a kisvirágú nenyúljhozzám. Nebáncsvirágnak is hívják. Közeli rokonától (Kisvirágú nenyúljhozzám – Impatens parviflora) könnyen megkülönböztethetjük, mivel virága és a növény mérete is jóval nagyobb az előbb említettnél. Az erdei nenyúljhozzám szára vaskosabb, a szártagok kapcsolódásánál jókora bütykök láthatóak, a szár üvegesnek tűnő. Levelei tojásdadok, fűrészes szélűek. Virágai sárgák, piros pettyezéssel, hosszú , lefelé görbülő sarkantyúval. Termése a legkisebb érintésre is felpattanó és magjait szétlövő tok. Nedves, nyirkos talajú erdőkben, erdőszéleken virágzik június-augusztusban.											
Erdei peremizs	Inula conyza	sátorozó	lándzsás	ép	ülő	fészek	sárga	hengeres				Régen gyógynövényként hasznosították. Vékony, merev, vöröses szára 60-120 cm magasra nő meg, dúsan elágazó. Levelei a száron szórtan helyezkednek el, az alsók nyelesek, a felsők ülők vagy rövid nyelűek. Lándzsa alakúak, fűrészes szélűek, erezetük vöröses lehet. Virágai sátorozó bogban állnak. Csöves virágok alkotják, melyek sárgák, a fészekpikkelyek lilásak vagy barnásvörösek. A virág henger alakú. Termése szőrbóbitás kaszat. Július és november között virágzik, erdőkben, bokorerdőkben, vágásokban, száraz talajokon.											
Erdei szálkaperje	Brachypodium sylvaticum	füzér	szálas	ép	szárölelő	redukált	sárga	hengeres				Európa nagy részén előforduló pázsitfűféle. Általában többedmagával alkot sűrű, akár méteres magasságú „falat”. Kedveli a kevésbé kötött, tápanyagban gazdag talajtípusokat. Kalász virágzata mindig bókoló, június és augusztus között virágzik.											
Erdei szamóca	Fragaria vesca	magányos	összetett	fűrészes	nyeles	5 tagú	fehér	hengeres				A szamóca-fajok közismert növények. Kellemes ízű termésük igen gazdag C-vitaminban, de a levél is tartalmaz gyógyhatású anyagokat, idegnyugtató, illetve gyomorrontás esetén is hatásos. Hármasan összetett levelei fűrészes szélűek, szőröktől selymes tapintásúak, hosszú nyélen emelkednek a föld fölé. Magányos fehér virága szintén hosszú száron nyílik májusban. Öt fehér, tojásdad, tompa csúcsú szirom alkotja. A zöld színű csészelevelek hegyes csúcsúak, a szárhoz és levélhez hasonlóan szőrösek, a terméstől elállnak. Termése 0,5-1 cm nagyságú, piros színű, kúp alakú, júniusban érik, igen ízletes. Az erdei szamóca íze sokkal intenzívebb, mint a belőle kinemesített epreké. Hosszú, legyökeresedő indákat fejleszt, ezzel szaporodik. A termést egyébként szamócatermésnek nevezik, ahol az aszmagtermések a húsos vacokba ágyazódnak be. Erdei utak szélén, vágásokban találkozhatunk vele.											
Erdei szellőrózsa	Anemone sylvetris	magányos	osztott	fűrészes	nyeles	5 tagú	fehér	hengeres				A szellőrózsák a boglárkafélék közé tartoznak, egy faj kivételével (bogláros szellőrózsa) mind fehér virágúak. A kertészetben sok fajtájuk kedvelt dísznövény, ezek nemcsak fehérek, hanem pirosak, lilák vagy rózsaszínek is lehetnek. Szára felálló, hengeres, finom, fehér szőröktől molyhos. Levelei tőállóak, nyelesek, tenyeresen öt karéjra osztottak. A karéjok széle fűrészes, csúcsuk egyszer vagy kétszer hasadt. A virágok magányosan nyílnak a szár csúcsán. Öt hófehér, tojásdad csészelevél alkotja őket, a nagyszámú porzó sárga színű. Nincsenek mézfejtők. A virágok 3-8 cm átmérőjűek. Termése aszmagcsokor. Nyílt, napsütötte réteken virágzik április-májusban. Védett, eszmei értéke 2000 forint. Mérgező is.											
Erdei tisztesfű	Stachys sylvatica	örv	tojásdad	fűrészes	nyeles	ajakos	bíbor	szögletes				Üde, nedves gyertyános-tölgyesek, tölgyesek típusjelző növénye. A tisztesfű-fajok régóta ismert gyógynövények, külsőleg sebgyógyító, vérzéscsillapító. 30-60 cm magasságot elérő, szögletes, szőrös szárú faj. A növény megdörzsölve erős, kellemetlen illatot áraszt. Levelei szív alakúak, szórtan állnak, nyéllel kapcsolódnak a szárhoz. Szélük fűrészes, felületüket, csakúgy mint a szárat, mirigyszőrök fedik. Virágai bíborvörösek, fehér mintázattal(ez a rovarok csalogatásáras szolgál), a szár csúcsi részén nyílnak álörvben. Termése makkocska. Erős tarackjaival is szaporodik. Május-júniusban virágzik.											
Erdei ujjaskosbor	Dactylorhiza fuchsii	füzér	lándzsás	ép	tőálló	kosbor	rózsaszín	bordás				Még a virágok nyílása előtt könnyen felismerhető a tőrózsában álló levelek foltjai alapján. Hazánkban elterjedt alfaja a subsp. Soonia, amelynek fehér virágai sötét bíbor csíkokkal futtattatottak. 20-45 cm magas, szára karcsú, vékony, egyenes, felálló. Kétféle levele van: fényes, hosszúkás-tojásdad ( vagy lándzsás ) , vörösesbarna foltokkal tarkított alsó levelei tőrózsát alkotnak, szárlevelei keskenyebbek, számuk kevés. A levéllemez és szél egyaránt ép. Virágai tömött füzérben nyílnak a szár végén, május-július során. A szélső leplek szétállóak, sötéten csíkozottak vagy foltosak. A mézajak három karéjra hasadt, a lepel színétől függetlenül foltos vagy sávozott. A virágok színe a fehértől a rózsaszínen át a sötét-bíborig terjed. Termése sokmagvú tok. Előfordul nyílt erdőkben, láp-és mocsárréteken, cserjésekben. Hazánkban védett faj, természetvédelmi értéke: 10 000 Ft.											
Erdei varázslófű	Circaea lutetiana	fürt	tojásdad	fogas	nyeles	egyedi*	fehér	hengeres				Félnedves gyertyános-tölgyesek, bükkösök, keményfás ligeterdők, ártéri nyarasok típusjelzője, amely az árnyékot kedveli. Nitrogénjelző is. 20-60 cm magasságot elérő faj. Levelei elliptikusak, finoman fűrészesek, nagyon vékonyak, pergamenszerűek. Átellenes állásúak, a szárhoz rövid nyéllel kapcsolódnak. Virágai aprók, fehérek, bimbós állapotban rózsaszínek. Laza fürtöt alkotnak a szár végén. Termése makk, mely horgas szőrei segítségével beleakad a ruházatba, állatok bundájába, így terjedve. Július-szeptember között virít árnyas, üde erdőkben.											
Erdei varfű	Knautia dipsacifolia	fejecske	lándzsás	fűrészes	ülő	egyedi*	lila	hengeres				A népi gyógyászat sebgyógyításra alkalmazta, régi neveiben máig őrzi e tulajdonságát ( kelésfű, rühfű, stb.) Karcsú, elágazó szára finoman szőrös. Levelei lándzsásak, szélük fűrészes, a levéllemez ép. A levél felülete a szárhoz hasonlóan molyhos. Lila virágai kicsit, a szár végén félgömb alakú virágzatot alkotnak, amely a fészkesek virágzatára hasonlít. Hazánk védett faja, eszmei értéke 2000 forint. Üdé, nedvesebb talajú élőhelyeken találkozhatunk vele: ligeterdőkben, magaskórós társulásokban, hegyi patakok mentén. Június és szeptember hónapokban találkozhatunk dekoratív virágaival.											
Erdei varjúköröm	Phyteuma spicatum	fejecske	lándzsás	fűrészes	nyeles	egyedi*	fehér	hengeres				Virágzata alapján aligha gondolnánk, hogy a harangvirágfélék családjának tagjai. Magyarországon két faj honos, mindkettő védett. Karcsú, elágazás mentes szára 15-80 cm magas. Alsó levelei szíves-háromszögletes alakúak, nyelesek, a felsők lándzsás alakúak, ülők, mindkét széle fűrészes. A virágzat megnyúlt, tömött füzér, a virágok halvány sárgák vagy fehérek. Érdekes alakja miatt kapta nevét is, mert a párta, mielőtt kinyílna, karomszerűen görbült. A virágzás előrehaladtával szétnyílik, így napvilágra kerül a bibe. Termése tok. Védett, eszmei értéke 5000 forint. Üde erdők, hegyi rétek június-júliusi ritkasága.											
Erdélyi ibolya	Viola declinata	magányos	osztott	fűrészes	ülő	5 tagú	lila	hengeres				A Viola nemzetség tagjai az ibolyák és árvácskák. Többnyire lila színűek, de akad köztük fehér és sárga virágú faj is. Karcsú szárú, csinos kis növény. Megjelenésében jobban hasonlít az árvácskákra. Levelei osztottak, az osztatok fordított tojásdadok, csipkés-fűrészes szélűek. Virága kb. 1-1,5 cm nagy, feltűnő, élénk színű, sötétlila vagy kasmírkék, a toroknál sötétebb csíkozással, a közepe sárga. Toktermés van. Hegyvidéki faj, Hazánkban nem honos. Hegyi rétek, erdőszélek, vágások vadvirága májusban.											
Erdélyi nyúlfarkfű	Sesleria heufleriana	füzér	szálas	ép	ülő	egyedi*	fehér	szalmaszár				Hazánk mészkősziklagyepen élő, védett nyúlfarkfű faja. Április - május hónapban virágzik. Meszes alapkőzetű középhegységeink (Aggteleki-karszt, Bükk) sziklás rétjein találkozhatunk vele. Gyakran alkot laza gyepet, fiatal, szálas levelei gyakran begöngyölt szélűek, hamvas felületűek. Nemzetségének magyar neve a tömött bugavirágzat alakjából származik, mivel az nyúlfarokra hasonlít. Az erdélyi nyúlfarkfű bugavirágzata kékes árnyalatú, hasonlóan a tarka, illetve magyar nyúlfarkfűhöz.											
Ernyős madártej	Ornithogalum umbellatum	fürt	szálas	ép	tőálló	6 tagú	fehér	hengeres				A virágok alakja, színe alapján hasonlít a fürtös homokliliomra, de a virágzat alakja és mérete alapján könnyű elkülöníteni. Kis termetű, hagymás évelő. Szára nem ágazik el, levéltelenek. Levelei tőről hajtanak, szálasak, keskenyek, hosszuk néha meghaladja a növény magasságát, de a levelek elhajlóak. Virágait hat fehér, hegyes csúcsú lepel alkotja, a porzók sárgák. A virágokat megfordítva, a leplek hátulján zöld csíkozás látható. A szár végén sátorozó fürtöt alkotnak. Termése rekeszes, apró magokat rejtő tok. Április- májusban virágzik száraz gyepeken, kaszálókon, domboldalakon. Gyakori növény. Szinonim neve az ernyős sárma.											
Európai gombbernyő	Sanicula europaea	ernyő	osztott	fűrészes	nyeles	4 tagú	fehér	hengeres				A latin nevében szereplő 'sanicula' szó gyógyító tulajdonságára utal ( a szanitéc szó is innen ered.). Állítólag nagyszerű vérzéscsillapító, sebgyógyító, régen az emberek mindig hordtak maguknál a leveleiből, hogy kisebb-nagyobb sérüléseiket orvosolják. Nyeles tőlevelei 5-7 karéjra osztottak a karéjok öble hegyes, a karéjok csúcsa kiszélesedik, és egyszer vagy kétszer kicsípett. A levél széles fűrészes. A száron redukált levelek láthatóak, ezeket három-öt hegyes csúcsú levélke alkotja, melyek a virágzatot is gallérként övezik. A pici, fehér vagy halvány rózsaszín virágok több ernyőcskéből álló ernyővirágzatban nőnek a szár csúcsán. Termése ikerkaszat, felületén horgas szőrökkel, melyek a terjedésben játszanak szerepet. Árnyas, üde erdőkben (gyertyános tölgyes, bükkös) virágzik májusban és júniusban.											
